Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,1.8735,1.8965,1.9618,2.0441,2.2548,2.36,2.4698,2.6776,2.843,2.5538,2.4536,2.6379,2.6152,2.7278,2.7908,2.9629,2.9836,3.0924,3.2762,3.3958,2.4819,2.9294,3.2793
Africa Eastern and Southern,AFE,287.2017,260.9922,267.815,355.7164,442.6962,516.6611,580.2408,665.5987,713.5021,715.4853,849.4096,945.439,952.9985,962.4413,978.7438,898.3089,828.9612,973.0251,1012.2912,1009.7465,933.4072,1085.6049,1191.6386
Afghanistan,AFG,3.5214,2.8136,3.8257,4.5209,5.2249,6.2033,6.9718,9.7479,10.1093,12.4162,15.8567,17.8051,19.9073,20.1464,20.4971,19.1342,18.1166,18.7535,18.0532,18.7994,19.9559,14.26,14.4972
Africa Western and Central,AFW,142.1401,150.0585,179.3901,207.755,258.5667,317.0965,402.7242,471.5378,575.0595,515.474,606.2801,691.1875,748.1268,844.2026,903.9337,778.0221,700.0282,694.0513,777.8404,833.2889,797.2952,858.1145,893.6399
Angola,AGO,9.1296,8.9361,15.2856,17.8127,23.5521,36.9709,52.381,65.2664,88.5387,70.3072,83.7995,111.7897,128.0529,132.3391,135.9668,90.4964,52.7616,73.6902,79.4507,70.898,48.5016,66.5051,104.3997
Albania,ALB,3.5846,4.0591,4.515,5.8017,7.4066,8.2567,9.1505,11.1169,13.2585,12.3355,12.0865,12.9738,12.2465,12.797,13.2963,11.4702,11.9887,13.2583,15.3795,15.5851,15.2415,18.032,19.0172
Andorra,AND,1.4326,1.5483,1.7643,2.3669,2.9002,3.1611,3.4593,3.9576,4.1023,3.689,3.4499,3.6291,3.1887,3.1935,3.2717,2.7899,2.8966,3.0002,3.2184,3.1551,2.891,3.3246,3.3806
Arab World,ARB,763.4116,744.7285,746.6493,830.0765,987.316,1210.0804,1439.471,1674.641,2118.0711,1829.8496,2155.3453,2565.0194,2805.3842,2874.2756,2926.205,2568.6311,2524.1029,2598.4755,2907.3296,2949.355,2596.4226,3077.9065,3738.5845
United Arab Emirates,ARE,104.3374,103.3116,109.8162,124.3464,147.8244,180.6175,222.1165,257.9161,315.4746,253.5474,300.1891,360.8327,384.6101,400.2185,414.1054,370.2755,369.2553,390.5168,427.0494,417.9897,349.473,415.1788,502.7319
Argentina,ARG,284.2038,268.6968,97.724,127.587,164.6579,198.7371,232.5573,287.5305,361.558,332.9765,423.6274,530.1581,545.9824,552.0251,526.3197,594.7493,557.5323,643.6284,524.8199,447.7547,385.7405,486.5641,632.7901
Armenia,ARM,1.9116,2.1185,2.3763,2.8071,3.5766,4.9005,6.3845,9.2063,11.662,8.6479,9.2603,10.1421,10.6193,11.1215,11.6095,10.5533,10.5461,11.5275,12.4579,13.6193,12.6417,13.8789,19.5135
American Samoa,ASM,0.512,0.512,0.512,0.524,0.509,0.5,0.493,0.518,0.56,0.675,0.573,0.57,0.64,0.638,0.643,0.673,0.671,0.612,0.639,0.647,0.721,0.75,0.871
Antigua and Barbuda,ATG,0.901,0.8778,0.8981,0.9481,1.0263,1.1439,1.3037,1.4874,1.5576,1.3865,1.2983,1.2874,1.3647,1.3255,1.3787,1.4375,1.4896,1.5349,1.6615,1.7264,1.4116,1.6021,1.8666
Australia,AUS,416.1678,379.6293,395.7887,467.7391,614.66,695.6929,748.4176,855.0075,1056.1124,928.7621,1148.8382,1398.6106,1547.5323,1577.1233,1468.2654,1351.2964,1206.837,1325.5827,1427.809,1392.7238,1328.4141,1556.7358,1690.8582
Austria,AUT,196.1816,196.4772,212.8372,260.7798,299.2104,313.9523,333.906,386.7602,429.2344,399.2901,389.8278,428.9547,406.7505,426.5805,438.556,379.5461,393.6874,414.9261,452.5823,442.9836,434.3976,480.467,471.7736
Azerbaijan,AZE,5.2726,5.7076,6.2361,7.2764,8.6804,13.2454,20.9819,33.0494,48.8513,44.2924,52.9093,65.9528,69.6799,74.1606,75.2398,53.0762,37.867,40.8666,47.1125,48.1742,42.693,54.8254,78.8075
Burundi,BDI,0.8705,0.8768,0.8254,0.7847,0.9153,1.1171,1.2734,1.3562,1.6118,1.7815,2.0321,2.2358,2.3333,2.4516,2.7058,3.104,2.6445,2.7236,2.6672,2.5765,2.6497,2.7758,3.3387
Belgium,BEL,236.7925,236.7461,258.3836,318.0825,369.2147,385.7148,408.2598,470.9222,517.3281,485.0145,481.5565,527.1966,498.4144,524.097,537.9874,461.0448,474.2716,500.9088,542.6389,536.7263,529.6945,598.5224,593.6146
Benin,BEN,3.52,3.6662,4.1943,5.3493,6.1903,6.5677,7.0341,8.169,9.7877,9.7386,9.5353,10.6933,11.1414,12.5178,13.2845,11.3882,11.8211,12.7017,14.2624,14.3917,15.6867,17.6876,17.4254
Burkina Faso,BFA,2.9684,3.1904,3.6224,4.7408,5.4517,6.1464,6.5474,7.6257,9.4514,9.4507,10.1096,12.0803,12.561,13.4443,13.943,11.8322,12.8334,14.107,15.8901,16.0328,17.725,19.6975,18.8202
Bangladesh,BGD,53.3698,53.9913,54.7241,60.1589,65.1085,69.476,71.7957,79.6116,91.637,102.4752,115.2755,128.6075,133.3107,149.999,172.8866,195.1466,265.2245,293.7324,321.3628,351.2317,373.9794,416.2716,460.1317
Bulgaria,BGR,13.246,14.1834,16.403,21.145,26.1577,29.8687,34.3805,44.4313,54.4807,52.0238,50.6891,57.6813,54.2971,55.8193,57.0809,50.7659,53.9294,59.1676,66.2516,68.634,70.5507,84.4141,90.5092
Bahrain,BHR,9.0629,8.9762,9.5935,11.0748,13.1502,15.9687,18.5048,21.73,25.7109,22.9382,26.806,29.9147,31.9634,33.8233,34.7725,32.5233,33.8847,37.2048,39.568,40.4468,35.8376,40.8402,46.4582
"Bahamas, The",BHS,8.0765,8.3178,8.8812,8.8701,9.0553,9.8362,10.1672,10.6183,10.526,9.982,10.0958,10.0704,10.7204,10.4753,11.1391,11.8376,11.8809,12.4469,12.8192,13.277,10.3632,12.037,13.8968
Bosnia and Herzegovina,BIH,5.5678,5.8006,6.7282,8.4989,10.1565,11.2228,12.8648,15.7787,19.1128,17.6139,17.1763,18.6442,17.2267,18.1791,18.5587,16.4043,17.1169,18.3264,20.4841,20.4826,20.226,23.6727,24.5347
Belarus,BLR,12.7368,12.3548,14.5949,17.8254,23.1416,30.2101,36.9619,45.2757,60.7521,50.8732,57.2319,61.7624,65.6859,75.5276,78.8131,56.4548,47.7235,54.7254,60.031,64.4102,61.3717,69.6737,73.7752
Belize,BLZ,1.1389,1.1728,1.2446,1.3089,1.4008,1.475,1.5912,1.7071,1.7389,1.6885,1.7457,1.827,1.9094,2.0328,2.1383,2.193,2.2402,2.2663,2.2932,2.3883,2.0428,2.4206,2.8467
Bermuda,BMU,3.4802,3.6805,3.9372,4.1865,4.4847,4.8681,6.144,6.767,6.98,6.656,6.6345,6.3127,6.3782,6.4658,6.414,6.6545,6.8999,7.1423,7.226,7.4235,6.8874,7.29,7.8744
Bolivia,BOL,8.3979,8.1415,7.9055,8.0824,8.7735,9.5491,11.4518,13.1201,16.6743,17.34,19.6497,23.9632,27.0845,30.6593,32.9962,33.0002,33.9411,37.5086,40.2876,40.8953,36.6298,40.4061,44.0083
Brazil,BRA,655.4482,559.9836,509.7953,558.2337,669.2894,891.6338,1107.6265,1397.1145,1695.8551,1666.9964,2208.8377,2616.1562,2465.2278,2472.8195,2456.0437,1802.2122,1795.6935,2063.515,1916.9339,1873.2882,1476.1072,1670.6474,1951.9239
Barbados,BRB,3.0595,3.0545,3.1065,3.2095,3.4445,3.8195,4.2173,4.6758,4.7904,4.4668,5.1912,5.3422,5.2713,5.3612,5.366,5.2881,5.3308,5.5173,5.6299,5.7883,5.1683,5.2752,6.2573
Brunei Darussalam,BRN,6.571,6.0962,6.3331,7.1677,8.6192,10.5472,12.6446,13.432,15.9265,11.9129,13.7071,18.5248,19.0484,18.0941,17.0978,12.9303,11.4003,12.1282,13.5669,13.4692,12.0058,14.0065,16.6815
Bhutan,BTN,0.4607,0.4961,0.5593,0.6519,0.7353,0.8604,0.9429,1.2558,1.3175,1.3313,1.7089,1.9777,1.9734,1.9437,2.0891,2.1878,2.3575,2.5914,2.5833,2.7357,2.4576,2.7688,2.8982
Botswana,BWA,5.7883,5.4896,5.4389,7.5116,8.9575,9.9189,9.9192,10.5673,10.7308,10.1185,12.6373,15.1106,13.9075,14.2717,15.4701,13.5307,15.0826,16.1052,17.0319,16.7259,14.9603,18.7502,20.3212
Central African Republic,CAF,0.9168,0.9326,0.9961,1.1423,1.2724,1.3379,1.4619,1.6998,1.9934,2.0674,2.1426,2.438,2.5101,1.6915,1.8948,1.6958,1.825,2.0723,2.221,2.2213,2.3267,2.5165,2.3826
Canada,CAN,744.7734,738.9818,760.6493,895.5406,1026.6902,1173.1086,1319.2648,1468.8204,1552.9897,1374.6251,1617.3434,1793.3266,1828.3665,1846.5974,1805.7499,1556.5088,1527.9947,1649.2656,1725.3292,1743.7252,1655.6847,2022.3787,2190.4111
Central Europe and the Baltics,CEB,429.4127,469.5014,528.5248,634.2911,763.4905,885.7158,1001.3214,1264.2654,1530.2707,1289.2652,1319.4503,1458.17,1361.9029,1420.2287,1467.4565,1297.1476,1321.5656,1467.5052,1658.2152,1686.0421,1679.7703,1927.9401,1956.2743
Switzerland,CHE,279.216,286.5827,309.3014,362.0751,403.9129,418.2849,441.6347,490.7407,567.2678,554.2129,598.851,715.8881,686.4202,706.2349,726.5378,694.1182,687.8955,695.2008,725.5687,721.3691,741.9994,815.3093,828.5089
Channel Islands,CHI,6.4397,6.2329,6.6637,7.3322,8.5536,8.8273,9.6762,11.5146,10.3077,9.1008,8.9021,9.6493,9.4553,9.5942,10.5285,10.11,9.1693,9.1701,10.0262,10.0324,9.4398,11.157,11.3083
Chile,CHL,78.3398,71.5747,70.264,76.4926,99.076,122.2941,153.8435,172.4911,179.8946,171.7779,217.0512,251.3826,267.0248,277.395,259.561,242.4504,249.3449,276.1543,295.8576,278.2851,254.0422,315.3255,301.2266
China,CHN,1223.7549,1355.0366,1489.8217,1683.9033,1984.1966,2317.5513,2791.4985,3604.0558,4667.3464,5189.5771,6192.5649,7671.7572,8673.6647,9743.1242,10674.5332,11280.8148,11456.0241,12537.5591,14147.7658,14560.1671,14996.4142,18201.6987,18316.765
Cote d'Ivoire,CIV,16.5775,16.8105,18.0544,21.2518,23.5106,24.0369,25.2814,28.7601,34.0782,33.8868,34.9363,36.6937,36.3023,42.7602,48.843,45.815,48.4078,52.5123,58.5225,60.3829,63.0279,72.7946,70.9228
Cameroon,CMR,10.5666,10.9535,12.4173,15.9703,18.8262,19.5099,20.9105,23.9283,27.7151,27.933,27.5075,30.6309,30.1551,33.7286,36.3865,32.2102,33.8143,36.0985,39.9556,39.6678,40.7732,45.0119,44.3472
"Congo, Dem. Rep.",COD,19.088,7.4382,8.728,8.9376,10.2975,11.9645,14.4519,16.7371,19.7885,18.6484,21.5657,25.8397,29.3062,32.6797,35.909,37.9177,37.1348,38.0193,47.5682,51.7758,48.717,55.3285,65.8015
"Congo, Rep.",COG,3.2279,2.7967,3.0343,3.5037,4.657,6.65,8.0723,8.7827,11.6499,9.7233,13.1484,15.6554,17.6929,17.9587,17.9193,12.4348,10.9313,11.8345,14.7739,13.9766,11.4687,14.8257,15.817
Colombia,COL,99.8751,98.2006,97.9458,94.645,117.0924,145.6005,161.793,206.2295,242.5042,232.4687,286.4985,334.9661,370.6911,382.0937,381.2409,293.4924,282.7201,311.8669,334.1982,323.0317,270.3483,318.5246,345.6325
Comoros,COM,0.3511,0.3785,0.426,0.5469,0.6337,0.6538,0.6984,0.7957,0.9157,0.9053,0.908,1.0231,1.0158,1.1162,1.1496,0.966,1.0128,1.0774,1.1888,1.195,1.225,1.299,1.2795
Cabo Verde,CPV,0.5392,0.5631,0.6205,0.8133,0.9249,0.9722,1.1076,1.6496,1.9596,1.8523,1.8248,2.0468,1.9131,2.0289,2.0419,1.7499,1.8498,1.9967,2.2051,2.2522,1.8216,2.0518,2.247
Costa Rica,CRI,15.0136,15.9762,16.5788,17.2718,18.6106,20.0406,22.7155,26.8847,30.8017,30.7457,37.6586,42.7626,47.2317,50.9497,52.0164,56.4419,58.847,60.516,62.4202,64.4177,62.3956,64.9607,69.2436
Caribbean small states,CSS,25.6263,26.5054,27.7428,30.59,33.5985,38.2249,44.3266,49.7401,57.2968,47.914,52.5626,56.5027,59.9293,61.7565,63.8204,62.135,57.7299,59.5416,60.8932,61.9293,53.1806,61.9617,78.0546
Cuba,CUB,30.5654,31.6824,33.5905,35.9012,38.203,42.6438,48.8359,54.2629,56.3021,57.4815,59.563,68.99,73.141,77.148,80.6561,87.1328,91.3704,96.8506,100.05,103.4276,107.3518,107.3518,107.3518
Curacao,CUW,2.1205,2.1435,2.1608,2.2021,2.2372,2.3446,2.4576,2.5938,2.8335,2.8692,2.9513,2.9301,3.0128,3.0336,3.0594,3.0588,3.0247,3.0334,3.0464,3.0261,2.5343,2.7396,3.0752
Cayman Islands,CYM,4.2003,4.2003,4.2003,4.2003,4.2003,4.2003,4.2003,4.4663,4.5859,4.2817,4.1568,4.1861,4.291,4.4058,4.5629,4.7082,4.9093,5.1663,5.5302,5.9419,5.6554,6.06,6.6008
Cyprus,CYP,9.9858,10.3979,11.4202,14.5473,17.3206,18.4334,20.0728,23.9687,27.8446,26.0482,25.7999,27.6415,25.0474,23.9597,23.2259,19.9093,21.0465,22.9466,25.754,26.1967,25.5551,30.3726,30.9356
Czechia,CZE,62.1756,68.1353,82.6079,100.4359,120.1479,137.2642,156.2363,190.0407,236.5063,206.9719,211.1687,231.4294,210.3632,213.0244,210.9113,189.1077,198.1607,221.5636,251.9924,256.7942,251.1097,290.9727,301.8312
Germany,DEU,1966.9807,1966.3815,2102.3508,2534.7155,2852.3178,2893.3932,3046.3088,3484.0567,3808.786,3479.8008,3468.1543,3824.8286,3597.8965,3808.0863,3965.8007,3423.5685,3537.7841,3763.0923,4052.0084,3957.2081,3940.1425,4348.2974,4163.5964
Djibouti,DJI,0.5512,0.5724,0.5911,0.622,0.6661,0.7086,0.7689,0.8479,0.9991,1.0491,1.1286,1.2391,1.3536,2.0444,2.2206,2.4244,2.605,2.7626,2.9135,3.0889,3.1441,3.3928,3.5628
Dominica,DMA,0.3335,0.3775,0.3752,0.3733,0.3967,0.3915,0.4167,0.4447,0.48,0.5156,0.5199,0.5321,0.5204,0.5453,0.5723,0.5832,0.6127,0.5634,0.6282,0.6443,0.5289,0.5629,0.6231
